data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5810765,275,PSE1652,1652,3/13/2018,2018,1,Violence against civilians,Attack,Military Forces of Israel (2009-),,8,Civilians (Palestine),Health Workers (Palestine),7,78,Middle East,Palestine,West Bank,Ramallah,,Al Bireh,31.9053,35.215,1,Ma'an News Agency,National,Video captured on Monday shows Israeli forces assaulting Palestinian medics in the central occupied West Bank city of al-Bireh as they were attempting to aid a Palestinian who had been shot during clashes in the area.,0,1567462209,PSE
5811593,275,PSE1651,1651,3/13/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Ramallah,,Al Bireh,31.9053,35.215,1,Ma'an News Agency,National,Video captured on Monday shows Israeli forces engaged in clashes with rioters in the central occupied West Bank city of al-Bireh.,0,1567462210,PSE
6302472,275,PSE1648,1648,3/12/2018,2018,1,Protests,Peaceful protest,Protesters (Palestine),,6,,,0,60,Middle East,Palestine,Gaza Strip,Gaza,,Gaza,31.5,34.4667,1,Press TV,Regional,Palestinians have held a sit-in in the Gaza Strip to show solidarity with thousands of Palestinian prisoners held in Israeli prisons.,0,1572403770,PSE
6231626,275,PSE1646,1646,3/12/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),Students (Palestine),5,58,Middle East,Palestine,West Bank,Nablus,,Burin,32.1845,35.2502,1,Palestine News and Information Agency; Anadolu Agency,National-Regional,"Israeli troops used teargas to disperse dozens of Palestinian villagers, including several school children, in Burin. Clashes broke out between students and Israeli soldiers during the students' morning break time.",0,1572403611,PSE
6314068,275,PSE1649,1649,3/12/2018,2018,1,Strategic developments,Disrupted weapons use,Police Forces of Israel (2009-),,8,Unidentified Armed Group (Palestine),,3,38,Middle East,Palestine,West Bank,Al Quds,,Al Quds,31.7834,35.2339,1,Times of Israel,Regional,"Weapons Seizure: Weapons captured by police in an undercover operation in East Jerusalem. Israeli forces captured arms including bombs, assault rifles, handguns and ammunition.",0,1572403785,PSE
5363085,275,PSE1645,1645,3/12/2018,2018,1,Riots,Violent demonstration,Military Forces of Israel (2009-),,8,Rioters (Palestine),Students (Palestine),5,58,Middle East,Palestine,West Bank,Ramallah,,Bir Zayt,31.9696,35.1941,1,AFP,International,Ten Palestinians were injured Monday in clashes that erupted during a demonstration against an Israeli army raid last week on Birzeit university campus.,0,1561470067,PSE
5363087,275,PSE1647,1647,3/12/2018,2018,1,Riots,Mob violence,Rioters (Israel),Settlers (Israel),5,Civilians (Palestine),Farmers (Palestine),7,57,Middle East,Palestine,West Bank,Nablus,,Huwwarah,32.1522,35.2567,1,Palestine News and Information Agency,National,"Israeli settlers Monday attacked a number of Palestinian farmers while they were tending to their agricultural land in the town of Huwwara, south of Nablus. Settlers also attempted to destroy farmers' agricultural trucks. No injuries were reported.",0,1561470067,PSE
6272013,275,PSE1643,1643,3/11/2018,2018,1,Strategic developments,Disrupted weapons use,Unidentified Armed Group (Palestine),,3,Military Forces of Israel (2009-),,8,38,Middle East,Palestine,West Bank,Ramallah,,Ramallah,31.8996,35.2042,2,Jerusalem Post,Regional,"Defusal: Two Palestinians were arrested at the entrance to the West Bank's Samaria Military Courthouse with a pipe bomb on Sunday morning, the sixth such attempt thwarted in recent months. The entrance to the court house was closed as a result and bomb disposal experts were dispatched to the scene.",0,1572403724,PSE
6302346,275,PSE1644,1644,3/11/2018,2018,1,Violence against civilians,Attack,Settlers (Israel),,3,Civilians (Palestine),,7,37,Middle East,Palestine,West Bank,Al Quds,,Hizma,31.8334,35.2632,1,Press TV,Regional,A 16 year old Palestinian was struck by a vehicle driven by a settler on the road linking the towns of Hizma and 'Anata northeast of Jerusalem on Sunday afternoon causing serious injuries. The sources added that the settler fled the scene after the incident.,0,1572403770,PSE
6272022,275,PSE1634,1634,3/10/2018,2018,1,Strategic developments,Disrupted weapons use,PIJ: Palestinian Islamic Jihad,,3,,,0,30,Middle East,Palestine,Gaza Strip,Gaza,,Gaza,31.5,34.467,3,Jerusalem Post,Regional,"Detonation: A member of the al-Quds Brigades, the military arm of Palestinian Islamic Jihad, was killed Saturday evening and two others wounded following an explosion in the Gaza Strip.",1,1572403724,PSE
6314027,275,PSE1639,1639,3/10/2018,2018,1,Battles,Armed clash,Unidentified Armed Group (Palestine),,3,Military Forces of Israel (2009-),,8,38,Middle East,Palestine,West Bank,Ramallah,,Ramallah,31.8996,35.2042,2,Times of Israel,Regional,"Shots were fired at an IDF post near the central West Bank city of Ramallah. There were no casualties in the incident, but troops were scanning the area adjacent to the Palestinian village of el-Bireh and had found several bullet shells.",0,1572403785,PSE
5612628,275,PSE1635,1635,3/10/2018,2018,1,Riots,Mob violence,Rioters (Israel),Military Forces of Israel (2009-); Settlers (Israel),5,Civilians (Palestine),,7,57,Middle East,Palestine,West Bank,Hebron,,At Tuwani,31.4127,35.1538,1,Ma'an News Agency,National,"A group of Israeli settlers attacked Palestinian residents of the southern occupied West Bank village of al-Tiwani, and attempted to set fire to the village's mosque.",0,1563822380,PSE
5363078,275,PSE1633,1633,3/10/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),Settlers (Israel),8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Salfit,,Urif,32.1595,35.2223,1,AP; AFP,International,A Palestinian man was shot dead by Israeli soldiers on Saturday following a clash with settlers near the West Bank city of Nablus. There were conflicting reports as to whether the Palestinian was shot by Israeli settlers or military troops.,1,1561470067,PSE
5363080,275,PSE1638,1638,3/10/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Qalqilya,,Azzun,32.175,35.0575,1,Palestine News and Information Agency,National,"Dozens of Palestinians Saturday suffocated after inhaling tear gas fired at them by Israeli forces during a military raid into the village of Azzoun to the east of Qalqilia. A number of Israeli army jeeps stormed the village while firing tear gas canisters heavily toward the village residents, spurring clashes between them.",0,1561470067,PSE
5655511,275,PSE1642,1642,3/10/2018,2018,1,Riots,Mob violence,Rioters (Israel),Settlers (Israel); Military Forces of Israel (2009-),5,Rioters (Palestine),,5,55,Middle East,Palestine,West Bank,Al Quds,,Al Quds-Silwan,31.7684,35.2381,1,Palestinian News Network,National,"Clashes erupted in the village of Silwan in East Jerusalem Saturday night after settlers allegedly attacked Palestinian children in the area. Israeli soldiers fired tear gas and sound grenades at the children and the locals, as well as into their homes.",0,1563908703,PSE
6250265,275,PSE1624,1624,3/9/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Ramallah,,Al Bireh,31.9053,35.215,1,Anadolu Agency,Regional,"Confrontations broke out near the West Bank cities of Ramallah and Al-Bireh, where army troops used teargas and rubber bullets to disperse Palestinian rioters.",0,1572403697,PSE
6318111,275,PSE1632,1632,3/9/2018,2018,1,Riots,Violent demonstration,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,Gaza Strip,Gaza,,Gaza,31.5,34.4667,3,Xinhua,International,"Clashes broke out Friday afternoon in the Gaza Strip between Palestinian demonstrators and Israeli soldiers, after calls made by various Palestinian factions.",0,1572403790,PSE
6250802,275,PSE1629,1629,3/9/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Qalqilya,,Kafr Qaddum,32.2216,35.1447,1,Anadolu Agency,Regional,"Clashes were seen in the villages of Mazraa al-Gharbia, Billin, Nilin and Nabi Saleh near Ramallah, and in the village of Kafr Qaddum near Nablus.",0,1572403698,PSE
5612626,275,PSE1622,1622,3/9/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Hebron,,Hebron,31.5294,35.0938,1,AFP,International,A Palestinian man was killed in clashes on Friday with the Israeli army in the occupied West Bank. A man was shot during the clashes in the southern West Bank city of Hebron and later died in hospital.,1,1563822380,PSE
5612627,275,PSE1637,1637,3/9/2018,2018,1,Riots,Mob violence,Rioters (Israel),Settlers (Israel),5,Civilians (Palestine),,7,57,Middle East,Palestine,West Bank,Hebron,,At Tuwani,31.4127,35.1538,1,Palestine News and Information Agency,National,Settlers from the Maon and Havat Maon settlements raided Al Tuwani village throwing stones at houses and vehicles.,0,1563822380,PSE
6250094,275,PSE1626,1626,3/9/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Ramallah,,An Nabi Salih,32.0164,35.124,1,Anadolu Agency,Regional,"Clashes were seen in the villages of Mazraa al-Gharbia, Billin, Nilin and Nabi Saleh near Ramallah, and in the village of Kafr Qaddum near Nablus.",0,1572403697,PSE
6250096,275,PSE1627,1627,3/9/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Ramallah,,Bilin,31.9284,35.072,1,Anadolu Agency,Regional,"Clashes were seen in the villages of Mazraa al-Gharbia, Billin, Nilin and Nabi Saleh near Ramallah, and in the village of Kafr Qaddum near Nablus.",0,1572403697,PSE
5363076,275,PSE1630,1630,3/9/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Nablus,,Al Lubban ash Sharqiyah,32.0701,35.2403,1,Palestine News and Information Agency,National,"At least two Palestinian rioters were on Friday injured by gunfire during clashes with Israeli forces in the village of Lubban e-Sharqia, to the south of Nablus in the West Bank.",0,1561470067,PSE
6035333,275,PSE3266,3266,3/9/2018,2018,1,Strategic developments,Change to group/activity,Military Forces of Israel (2009-),,8,,,0,80,Middle East,Palestine,West Bank,Nablus,,Dayr Sharaf,32.2533,35.1889,1,Israeli Link; Liveuamap,Local partner-New media,"Security Measures: Israeli forces built a military checkpoint in the town of Deir Sharaf, Nablus district at dawn, on March 9.",0,1571164385,PSE
5363077,275,PSE1631,1631,3/9/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Nablus,,Madama,32.1859,35.2311,1,Palestine News and Information Agency,National,"Israeli forces Friday detained a Palestinian youth after shooting and injuring him during clashes that broke out in the village of Madama, south of the West Bank district of Nablus.",0,1561470067,PSE
6250124,275,PSE1623,1623,3/9/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Ramallah,,Ramallah,31.8996,35.2042,1,Anadolu Agency,Regional,"Confrontations broke out near the West Bank cities of Ramallah and Al-Bireh, where army troops used teargas and rubber bullets to disperse Palestinian rioters.",0,1572403697,PSE
6250128,275,PSE1628,1628,3/9/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Ramallah,,Nilin,31.9467,35.0217,1,Anadolu Agency,Regional,"Clashes were seen in the villages of Mazraa al-Gharbia, Billin, Nilin and Nabi Saleh near Ramallah, and in the village of Kafr Qaddum near Nablus.",0,1572403697,PSE
6250151,275,PSE1625,1625,3/9/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),,5,58,Middle East,Palestine,West Bank,Ramallah,,Az Zaytuniyah,31.954,35.1624,1,Anadolu Agency,Regional,"Clashes were seen in the villages of Mazraa al-Gharbia, Billin, Nilin and Nabi Saleh near Ramallah, and in the village of Kafr Qaddum near Nablus.",0,1572403697,PSE
4655319,275,PSE1636,1636,3/9/2018,2018,1,Violence against civilians,Attack,Military Forces of Israel (2009-),,8,Civilians (Palestine),,7,78,Middle East,Palestine,West Bank,Bethlehem,,Efrata,31.65,35.1333,2,Ma'an News Agency,National,"Israeli forces assaulted late Friday a Palestinian youth from the village of al-Maasara, to the south of the city of Bethlehem in the occupied West Bank, leaving him with several injuries and bruises. His brother said that soldiers attacked his brother with their rifles near the Israeli settlement of Efrat, south of Bethlehem, without any reason and after detaining him.",0,1552576704,PSE
6314034,275,PSE1640,1640,3/8/2018,2018,1,Battles,Armed clash,Unidentified Armed Group (Palestine),,3,Military Forces of Israel (2009-),,8,38,Middle East,Palestine,West Bank,Nablus,,Nablus,32.2211,35.2544,2,Times of Israel,Regional,"On Thursday evening, shots were fired in the direction of IDF soldiers who were operating near the northern West Bank city of Nablus.",0,1572403785,PSE
5363067,275,PSE1621,1621,3/8/2018,2018,1,Riots,Mob violence,Rioters (Israel),Settlers (Israel),5,Civilians (Palestine),Farmers (Palestine),7,57,Middle East,Palestine,West Bank,Nablus,,As Sawiyah,32.0854,35.2578,1,Palestine News and Information Agency,National,"Israeli settlers attacked on Thursday Palestinian farmers while they were ploughing their land in the village of al-Sawiyeh, south of Nablus. The settlers also destroyed 40 fully grown olive trees owned by the Salman family.",0,1561470067,PSE
7068363,275,PSE1641,1641,3/8/2018,2018,1,Strategic developments,Looting/property destruction,Military Forces of Israel (2009-),,8,Civilians (Palestine),,7,78,Middle East,Palestine,West Bank,Nablus,,Burin,32.1845,35.2502,1,Palestine News and Information Agency,National,"Land seizure: On March 8 2018, the Israeli military authorities seized land near Burin high school south of Nablus under the pretext of security.",0,1587999666,PSE
6249956,275,PSE1620,1620,3/7/2018,2018,1,Riots,Mob violence,Military Forces of Israel (2009-),,8,Rioters (Palestine),Students (Palestine),5,58,Middle East,Palestine,West Bank,Al Quds,,Qalandia,31.8667,35.2167,1,Anadolu Agency,Regional,At least eight Palestinians were hurt Wednesday in confrontations with Israeli troops at the Qalandia army checkpoint between the northern West Bank and Jerusalem.,0,1572403697,PSE
